project_name,module,domain,diff_sim
12_shenyu,shenyu-web,stream processing,0.0019723638634732144
12_shenyu,shenyu-web,telecommunications network,0.00203269364315406
12_shenyu,shenyu-web,distributed system,0.007121561124727505
12_shenyu,shenyu-web,microservices,0.007530112581700554
12_shenyu,shenyu-web,HTTP server,0.010235662939595214
12_shenyu,shenyu-web,web application security,0.010710119298525278
12_shenyu,shenyu-web,web service,0.010897236476403283
12_shenyu,shenyu-web,web server,0.011525266780351151
12_shenyu,shenyu-web,web application,0.012654552366633265
12_shenyu,shenyu-web,pattern matching,0.012698462057045612
12_shenyu,shenyu-web,regular expression,0.013739589721122769
12_shenyu,shenyu-web,blockchain,0.015036124451654365
12_shenyu,shenyu-web,data binding,0.015172894100096923
12_shenyu,shenyu-web,embedded system,0.015417598020318501
12_shenyu,shenyu-web,object–relational mapping,0.01573255995037315
12_shenyu,shenyu-web,file system,0.016415935246579805
12_shenyu,shenyu-web,static program analysis,0.016703793368089026
12_shenyu,shenyu-web,dependency injection,0.018634490690259242
12_shenyu,shenyu-web,DevOps,0.018815793497249933
12_shenyu,shenyu-web,unit testing,0.01910085827087893
12_shenyu,shenyu-web,data compression,0.019483358109632976
12_shenyu,shenyu-web,application performance management,0.01979014660672318
12_shenyu,shenyu-web,File Transfer Protocol,0.02061616238373376
12_shenyu,shenyu-web,continuous integration,0.02094164370791174
12_shenyu,shenyu-web,language model,0.02126325432096421
12_shenyu,shenyu-web,linear regression,0.022116994726578354
12_shenyu,shenyu-web,server,0.023583693579562137
12_shenyu,shenyu-web,data analysis,0.024125098777589726
12_shenyu,shenyu-web,Semantic Web,0.024323521647821145
12_shenyu,shenyu-web,reactive programming,0.02443435948220074
12_shenyu,shenyu-web,static site generator,0.02485292065138911
12_shenyu,shenyu-web,HTTP client,0.024866172361022065
12_shenyu,shenyu-web,data mining,0.025438531271727682
12_shenyu,shenyu-web,data,0.025817410850463296
12_shenyu,shenyu-web,cloud computing,0.026032643553162704
12_shenyu,shenyu-web,back end,0.02624627405174773
12_shenyu,shenyu-web,big data,0.026305337135287377
12_shenyu,shenyu-web,penetration test,0.02673870976012005
12_shenyu,shenyu-web,logging,0.027181622057507404
12_shenyu,shenyu-web,support vector machine,0.027256973330348266
12_shenyu,shenyu-web,web browser engine,0.0278240161899449
12_shenyu,shenyu-web,Web Components,0.027934171090032933
12_shenyu,shenyu-web,database,0.027995533308968756
12_shenyu,shenyu-web,website,0.02851343111835769
12_shenyu,shenyu-web,package management system,0.028596418621934516
12_shenyu,shenyu-web,instant messaging,0.02940566926359267
12_shenyu,shenyu-web,analytics,0.029514652221204418
12_shenyu,shenyu-web,security,0.029742070212177008
12_shenyu,shenyu-web,logistic regression model,0.030580305421679665
12_shenyu,shenyu-web,software testing,0.0314632265457373
12_shenyu,shenyu-web,data structure,0.03192625371357294
12_shenyu,shenyu-web,smart contract,0.03243078465332627
12_shenyu,shenyu-web,validator,0.03263801706626612
12_shenyu,shenyu-web,Kalman filter,0.033546262708566976
12_shenyu,shenyu-web,search engine,0.03356095469021447
12_shenyu,shenyu-web,command-line interface,0.03428884348935535
12_shenyu,shenyu-web,web crawler,0.034493699237977404
12_shenyu,shenyu-web,World Wide Web,0.034683586237932884
12_shenyu,shenyu-web,object detection,0.03485293569991288
12_shenyu,shenyu-web,client,0.03496157223744867
12_shenyu,shenyu-web,automation,0.0370606852968568
12_shenyu,shenyu-web,search,0.040224261656308546
12_shenyu,shenyu-web,content management system,0.04039251888728135
12_shenyu,shenyu-web,game engine,0.04103688211453982
12_shenyu,shenyu-web,machine learning,0.04187372091434094
12_shenyu,shenyu-web,test automation,0.04864471341525922
12_shenyu,shenyu-web,graphical user interface,0.051560663013328956
12_shenyu,shenyu-web,recommender system,0.05494590691165668
12_shenyu,shenyu-web,user interface,0.06258348981241157
